epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1656,2.07875,2.80412,1.33456,0.32397,0.46625,0.28442,0.15687,1.93881,2.0013,1.27049,0.000471211,0.000471211,0.000471211
2,186.619,1.89669,1.81802,1.23221,0.43568,0.58926,0.46262,0.25917,1.81448,1.55159,1.26748,0.000928783,0.000928783,0.000928783
3,292.884,1.88945,1.6761,1.24646,0.37255,0.53217,0.45751,0.25658,1.76135,1.56218,1.22553,0.00136749,0.00136749,0.00136749
4,388.05,1.8272,1.57003,1.22623,0.51606,0.56091,0.51121,0.29393,1.79372,1.49861,1.23572,0.00134412,0.00134412,0.00134412
5,478.657,1.7938,1.83094,1.18876,0.60755,0.58769,0.58944,0.36324,1.77583,1.41932,1.22837,0.00131582,0.00131582,0.00131582
6,568.838,1.83766,1.528,1.22988,0.50559,0.62682,0.5649,0.32522,1.82494,1.41292,1.25201,0.00128753,0.00128753,0.00128753
7,659.44,1.80584,1.47594,1.19677,0.54644,0.60685,0.53879,0.33303,1.71175,1.42906,1.19381,0.00125923,0.00125923,0.00125923
8,751.414,1.77601,1.43968,1.1878,0.52878,0.61269,0.51684,0.31917,1.74378,1.48653,1.22911,0.00123094,0.00123094,0.00123094
9,840.382,1.7603,1.37444,1.1746,0.56503,0.67003,0.65266,0.3991,1.7401,1.29473,1.18902,0.00120265,0.00120265,0.00120265
10,934.782,1.74353,1.38515,1.18567,0.5483,0.67995,0.60592,0.356,1.72531,1.33119,1.2361,0.00117435,0.00117435,0.00117435
11,1029.16,1.75115,1.31233,1.18735,0.55903,0.70501,0.67308,0.43065,1.66774,1.28512,1.18114,0.00114606,0.00114606,0.00114606
12,1125.23,1.71486,1.32686,1.1731,0.6736,0.65782,0.69131,0.43291,1.70298,1.32083,1.23897,0.00111776,0.00111776,0.00111776
13,1217.94,1.70973,1.26383,1.17144,0.64808,0.67001,0.70779,0.44072,1.69676,1.21204,1.1824,0.00108947,0.00108947,0.00108947
14,1325.67,1.71215,1.28571,1.1503,0.74735,0.63988,0.70407,0.44466,1.68172,1.21069,1.1984,0.00106118,0.00106118,0.00106118
15,1464.82,1.72002,1.22733,1.17233,0.68746,0.68913,0.70988,0.4364,1.72193,1.23126,1.20224,0.00103288,0.00103288,0.00103288
16,3517.81,1.66778,1.21629,1.16585,0.69361,0.69221,0.72376,0.45331,1.66909,1.13462,1.1897,0.00100459,0.00100459,0.00100459
17,3609.44,1.68418,1.19425,1.15533,0.66328,0.71078,0.7064,0.43619,1.69494,1.1851,1.18789,0.000976293,0.000976293,0.000976293
18,3700.85,1.6515,1.16643,1.13274,0.66615,0.72547,0.72935,0.45007,1.67676,1.14396,1.18786,0.000947999,0.000947999,0.000947999
19,3792.32,1.64065,1.276,1.12965,0.71179,0.67566,0.72559,0.45201,1.67156,1.1408,1.19354,0.000919704,0.000919704,0.000919704
20,3883.55,1.67013,1.13071,1.14336,0.67497,0.71802,0.72639,0.45277,1.68125,1.10892,1.1849,0.00089141,0.00089141,0.00089141
21,3974.03,1.66645,1.13966,1.15187,0.66652,0.71634,0.73974,0.45805,1.6957,1.11132,1.19762,0.000863116,0.000863116,0.000863116
22,4064.89,1.64539,1.09282,1.12556,0.74455,0.65646,0.74078,0.45113,1.66257,1.13447,1.19709,0.000834822,0.000834822,0.000834822
23,4156.78,1.6289,1.05837,1.11726,0.77072,0.66963,0.75735,0.47378,1.66572,1.06887,1.1937,0.000806528,0.000806528,0.000806528
24,4247.22,1.61475,1.07469,1.12868,0.73286,0.73758,0.74353,0.46003,1.67566,1.11053,1.19591,0.000778233,0.000778233,0.000778233
25,4338.19,1.61831,1.06513,1.11979,0.73541,0.68201,0.74435,0.43944,1.74469,1.11066,1.24626,0.000749939,0.000749939,0.000749939
26,4429.87,1.64177,1.07923,1.13657,0.7657,0.71693,0.75429,0.45317,1.68533,1.0696,1.22022,0.000721645,0.000721645,0.000721645
27,4520.81,1.58234,1.04087,1.10727,0.72435,0.70758,0.75445,0.4667,1.67051,1.05198,1.18446,0.000693351,0.000693351,0.000693351
28,4611.68,1.59358,1.0653,1.12764,0.7374,0.69341,0.75266,0.4577,1.68302,1.08128,1.21633,0.000665057,0.000665057,0.000665057
