epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3486.5,1.5796,0.99288,1.11824,0.68932,0.73346,0.74793,0.46195,1.67027,1.03088,1.19121,0.000848969,0.000848969,0.000848969
43,3567.93,1.54579,0.94558,1.09658,0.66149,0.72862,0.73662,0.46242,1.66718,1.0165,1.20722,0.000834822,0.000834822,0.000834822
44,3649.65,1.54801,0.94166,1.10874,0.67186,0.69088,0.72085,0.43679,1.69545,1.03744,1.21148,0.000820675,0.000820675,0.000820675
45,3730.89,1.57675,0.95218,1.10319,0.72499,0.72812,0.76283,0.46396,1.69128,1.01948,1.21495,0.000806528,0.000806528,0.000806528
46,3812.07,1.58255,0.93217,1.10203,0.749,0.72891,0.76518,0.47069,1.66963,0.9917,1.19788,0.00079238,0.00079238,0.00079238
47,3893.9,1.53113,0.92724,1.09904,0.71041,0.71108,0.74918,0.46749,1.66688,0.99845,1.1883,0.000778233,0.000778233,0.000778233
48,3975.22,1.53701,0.91039,1.08893,0.76144,0.68113,0.74211,0.45628,1.67957,1.02161,1.2049,0.000764086,0.000764086,0.000764086
49,4057.03,1.50752,0.88049,1.08406,0.69873,0.68889,0.7427,0.45533,1.69007,1.0335,1.20837,0.000749939,0.000749939,0.000749939
50,4138.45,1.52795,0.91985,1.09141,0.77272,0.66129,0.75325,0.46029,1.70123,0.99922,1.23019,0.000735792,0.000735792,0.000735792
51,4219.55,1.55633,0.92356,1.11402,0.67206,0.72577,0.7323,0.45436,1.68485,1.01747,1.22036,0.000721645,0.000721645,0.000721645
52,4300.75,1.53194,0.90237,1.09197,0.73906,0.70837,0.76082,0.46649,1.68343,0.97217,1.20292,0.000707498,0.000707498,0.000707498
53,4381.89,1.52175,0.9008,1.09645,0.7381,0.67704,0.75074,0.4718,1.65927,0.99023,1.19244,0.000693351,0.000693351,0.000693351
54,4463.73,1.52368,0.90925,1.08682,0.72778,0.67807,0.74235,0.46966,1.67098,1.01826,1.1944,0.000679204,0.000679204,0.000679204
55,4545.2,1.5144,0.87744,1.08349,0.74395,0.64917,0.72677,0.45076,1.68103,0.99808,1.1855,0.000665057,0.000665057,0.000665057
56,4626.41,1.50425,0.89378,1.0872,0.72257,0.70848,0.74707,0.47388,1.67773,0.99247,1.18754,0.000650909,0.000650909,0.000650909
57,4707.67,1.50953,0.87141,1.09235,0.74847,0.70651,0.76058,0.48206,1.67024,1.01914,1.19459,0.000636762,0.000636762,0.000636762
58,4789.48,1.51409,0.86814,1.07802,0.71336,0.66178,0.72924,0.45433,1.67087,1.01436,1.19127,0.000622615,0.000622615,0.000622615
59,4870.85,1.5276,0.87874,1.09171,0.77474,0.65531,0.74383,0.46434,1.67415,1.00369,1.21101,0.000608468,0.000608468,0.000608468
60,4951.81,1.4694,0.89323,1.06984,0.73498,0.71791,0.75627,0.48122,1.66351,0.98355,1.19099,0.000594321,0.000594321,0.000594321
61,5033.54,1.50314,0.87939,1.08869,0.67792,0.68853,0.72491,0.45792,1.65768,0.9848,1.19365,0.000580174,0.000580174,0.000580174
62,5114.87,1.46714,0.86243,1.06834,0.75323,0.62848,0.73758,0.45245,1.66417,0.98655,1.20569,0.000566027,0.000566027,0.000566027
63,5196.1,1.48446,0.88055,1.08001,0.75731,0.63332,0.72992,0.45912,1.6787,1.00259,1.20591,0.00055188,0.00055188,0.00055188
64,5277.3,1.49059,0.86393,1.08423,0.67733,0.73131,0.7442,0.46629,1.66036,0.97014,1.20191,0.000537733,0.000537733,0.000537733
65,5358.4,1.47079,0.85167,1.08283,0.70544,0.68195,0.7378,0.465,1.67231,0.98347,1.20256,0.000523586,0.000523586,0.000523586
66,5439.54,1.46684,0.83004,1.07309,0.62424,0.72631,0.72826,0.4658,1.65117,1.0037,1.1874,0.000509438,0.000509438,0.000509438
67,5521.07,1.46388,0.83784,1.066,0.70921,0.70418,0.73303,0.46331,1.66423,0.99211,1.19545,0.000495291,0.000495291,0.000495291
68,5602.97,1.49271,0.8293,1.07038,0.71307,0.67357,0.72591,0.46034,1.66919,0.98487,1.20469,0.000481144,0.000481144,0.000481144
69,5684.86,1.44591,0.83203,1.06996,0.7276,0.65519,0.71597,0.449,1.67242,0.99262,1.20519,0.000466997,0.000466997,0.000466997
70,5766.45,1.44834,0.83806,1.06366,0.66979,0.69596,0.7363,0.46065,1.68254,1.00414,1.19318,0.00045285,0.00045285,0.00045285
71,5847.99,1.46563,0.84856,1.07043,0.67594,0.74762,0.74567,0.46646,1.65962,0.97955,1.18745,0.000438703,0.000438703,0.000438703
72,5929.89,1.45802,0.81539,1.0626,0.72001,0.69317,0.74628,0.46876,1.6613,0.96122,1.19666,0.000424556,0.000424556,0.000424556
73,6011.23,1.44662,0.82799,1.05821,0.70489,0.65947,0.72759,0.45777,1.66314,1.00909,1.2008,0.000410409,0.000410409,0.000410409
74,6092.52,1.42478,0.78037,1.04236,0.74949,0.64857,0.73521,0.47008,1.64278,0.97512,1.19004,0.000396262,0.000396262,0.000396262
75,6173.92,1.4616,0.80681,1.05867,0.69367,0.68612,0.72319,0.45928,1.6451,0.97598,1.19127,0.000382115,0.000382115,0.000382115
76,6255.86,1.47258,0.80514,1.07345,0.69806,0.72746,0.75316,0.47891,1.6635,0.95831,1.17691,0.000367967,0.000367967,0.000367967
77,6337.33,1.41987,0.79466,1.06003,0.7986,0.6222,0.72937,0.45937,1.66524,0.97734,1.19898,0.00035382,0.00035382,0.00035382
78,6419.15,1.4294,0.79078,1.05052,0.75339,0.70113,0.75092,0.47662,1.66622,0.94808,1.20241,0.000339673,0.000339673,0.000339673
79,6501.61,1.42223,0.77185,1.05042,0.6905,0.74387,0.74185,0.47216,1.649,0.95559,1.19496,0.000325526,0.000325526,0.000325526
80,6584.5,1.43761,0.79469,1.05703,0.7158,0.65121,0.72233,0.45459,1.65633,1.01273,1.20684,0.000311379,0.000311379,0.000311379
81,6668.43,1.40483,0.769,1.04138,0.70678,0.66952,0.73126,0.46727,1.65327,0.97576,1.19323,0.000297232,0.000297232,0.000297232
82,6749.89,1.43678,0.78391,1.0483,0.81128,0.59555,0.739,0.4741,1.64223,0.99033,1.1888,0.000283085,0.000283085,0.000283085
83,6831.79,1.39342,0.7832,1.04624,0.74772,0.64373,0.73815,0.46889,1.65329,0.96857,1.19774,0.000268938,0.000268938,0.000268938
84,6913.36,1.41729,0.76474,1.05476,0.78534,0.61843,0.73783,0.46779,1.65233,0.97559,1.19691,0.000254791,0.000254791,0.000254791
85,6994.72,1.38074,0.74927,1.03568,0.79691,0.62413,0.74556,0.47271,1.64578,0.96013,1.19103,0.000240644,0.000240644,0.000240644
86,7076.53,1.40072,0.75537,1.04575,0.7849,0.61403,0.7445,0.46998,1.64085,0.95986,1.18195,0.000226497,0.000226497,0.000226497
87,7158.31,1.40689,0.75782,1.05271,0.69341,0.68748,0.7356,0.46676,1.64457,0.98774,1.19256,0.000212349,0.000212349,0.000212349
88,7239.62,1.39861,0.75461,1.04059,0.76006,0.62756,0.73613,0.46497,1.63936,0.97055,1.18776,0.000198202,0.000198202,0.000198202
89,7320.83,1.40932,0.76863,1.04605,0.66984,0.71394,0.73646,0.46593,1.63778,0.95721,1.18323,0.000184055,0.000184055,0.000184055
90,7402.4,1.36341,0.74418,1.03474,0.65324,0.73062,0.73872,0.46844,1.64959,0.96559,1.19498,0.000169908,0.000169908,0.000169908
91,8848.74,1.3846,0.74914,1.05313,0.66895,0.70977,0.71798,0.45501,1.65637,0.99179,1.20134,0.000155761,0.000155761,0.000155761
92,8935.41,1.35094,0.72994,1.04017,0.76124,0.61893,0.71383,0.45487,1.64722,0.99965,1.19689,0.000141614,0.000141614,0.000141614
93,9022.07,1.33901,0.70862,1.02501,0.6567,0.72273,0.7274,0.46303,1.64395,0.98458,1.19542,0.000127467,0.000127467,0.000127467
94,9108.8,1.33489,0.69867,1.03204,0.68716,0.70092,0.73548,0.46959,1.64991,0.97284,1.20108,0.00011332,0.00011332,0.00011332
95,9196.07,1.36019,0.71809,1.03461,0.77486,0.63912,0.73133,0.46492,1.64732,0.96741,1.19887,9.91726e-05,9.91726e-05,9.91726e-05
96,9283.01,1.34699,0.69381,1.03185,0.75327,0.63374,0.73205,0.46377,1.64678,0.97525,1.19648,8.50255e-05,8.50255e-05,8.50255e-05
97,9369.79,1.30992,0.68943,1.02089,0.75446,0.6292,0.73506,0.47106,1.64397,0.97077,1.19406,7.08784e-05,7.08784e-05,7.08784e-05
98,9456.73,1.33091,0.69302,1.04029,0.74277,0.64363,0.7332,0.46879,1.64245,0.9735,1.19494,5.67313e-05,5.67313e-05,5.67313e-05
99,9543.21,1.32845,0.73157,1.03547,0.78098,0.61849,0.73083,0.46515,1.6424,0.97205,1.1976,4.25842e-05,4.25842e-05,4.25842e-05
100,9629.92,1.32957,0.68232,1.03234,0.78024,0.61061,0.73178,0.46402,1.64235,0.97034,1.19726,2.84371e-05,2.84371e-05,2.84371e-05
