epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,810.024,1.35951,1.7868,1.22524,0.55934,0.65422,0.57208,0.34109,1.41271,1.64235,1.24276,0.000848969,0.000848969,0.000848969
43,829.118,1.42862,1.73564,1.2345,0.55199,0.66065,0.57371,0.33878,1.42607,1.72127,1.24766,0.000834822,0.000834822,0.000834822
44,848.038,1.35108,1.66747,1.22772,0.56048,0.66826,0.57331,0.33825,1.42153,1.75617,1.24214,0.000820675,0.000820675,0.000820675
45,866.956,1.39428,1.77843,1.26027,0.5518,0.61102,0.55646,0.33666,1.42957,1.75567,1.24545,0.000806528,0.000806528,0.000806528
46,885.831,1.36559,1.38475,1.25945,0.55209,0.69749,0.56455,0.34053,1.42541,1.58998,1.25407,0.00079238,0.00079238,0.00079238
47,904.869,1.33822,1.49297,1.23733,0.51498,0.63,0.5487,0.32934,1.44347,1.64505,1.26496,0.000778233,0.000778233,0.000778233
48,923.772,1.35387,1.53961,1.21722,0.51073,0.62669,0.53961,0.31883,1.41706,1.6611,1.25182,0.000764086,0.000764086,0.000764086
49,942.597,1.37857,1.72854,1.21321,0.56902,0.5807,0.54801,0.32047,1.40141,1.68508,1.24372,0.000749939,0.000749939,0.000749939
50,961.584,1.35388,1.49155,1.26441,0.54472,0.63034,0.56359,0.33879,1.39001,1.63793,1.23306,0.000735792,0.000735792,0.000735792
51,980.272,1.30554,1.58131,1.2069,0.5337,0.70108,0.60034,0.36406,1.36334,1.53947,1.22935,0.000721645,0.000721645,0.000721645
52,999.197,1.26283,1.58521,1.20962,0.60037,0.65178,0.61316,0.38305,1.3779,1.51907,1.239,0.000707498,0.000707498,0.000707498
53,1017.95,1.32155,1.43605,1.22111,0.60157,0.6367,0.60816,0.37472,1.39074,1.57907,1.24131,0.000693351,0.000693351,0.000693351
54,1036.88,1.28023,1.65965,1.19375,0.54485,0.61352,0.57882,0.3496,1.389,1.73165,1.24922,0.000679204,0.000679204,0.000679204
55,1055.76,1.38428,1.71183,1.23282,0.53073,0.64149,0.57784,0.34615,1.39883,1.64102,1.25932,0.000665057,0.000665057,0.000665057
56,1074.51,1.3382,1.42181,1.22459,0.52508,0.65687,0.58346,0.34773,1.40379,1.58981,1.26532,0.000650909,0.000650909,0.000650909
57,1093.48,1.29119,1.47113,1.22838,0.56857,0.65907,0.59019,0.35941,1.37876,1.55151,1.25286,0.000636762,0.000636762,0.000636762
58,1112.77,1.3408,1.52235,1.21673,0.55257,0.65342,0.57849,0.35375,1.3697,1.59177,1.24416,0.000622615,0.000622615,0.000622615
59,1130.59,1.3385,1.63083,1.22373,0.57079,0.58801,0.56343,0.35042,1.37247,1.66993,1.24445,0.000608468,0.000608468,0.000608468
60,1147.5,1.32317,1.37251,1.22134,0.62334,0.59506,0.59643,0.36512,1.386,1.5794,1.24506,0.000594321,0.000594321,0.000594321
61,1164.69,1.29326,1.36867,1.22207,0.64898,0.58854,0.61293,0.3656,1.36031,1.46677,1.21862,0.000580174,0.000580174,0.000580174
62,1182.23,1.3057,1.39256,1.21981,0.5293,0.70021,0.61141,0.37116,1.34991,1.47314,1.20734,0.000566027,0.000566027,0.000566027
