epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1415,2.07875,2.80412,1.33456,0.32397,0.46625,0.28442,0.15687,1.93881,2.0013,1.27049,0.000471211,0.000471211,0.000471211
2,173.2,1.8969,1.81664,1.23211,0.40821,0.63413,0.46357,0.25695,1.82026,1.54977,1.27065,0.000941291,0.000941291,0.000941291
3,263.802,1.89952,1.68038,1.25398,0.68949,0.39629,0.41357,0.23079,1.76689,1.63581,1.24019,0.00140508,0.00140508,0.00140508
4,350.367,1.83898,1.57586,1.23238,0.5152,0.55956,0.52096,0.30682,1.78612,1.47316,1.24019,0.00140071,0.00140071,0.00140071
5,435.536,1.80337,1.79956,1.19245,0.57404,0.62092,0.56983,0.34553,1.80557,1.46051,1.22256,0.00139127,0.00139127,0.00139127
6,520.411,1.84115,1.54672,1.22838,0.53019,0.62005,0.54781,0.32663,1.79889,1.38809,1.2347,0.00138184,0.00138184,0.00138184
7,606.387,1.79901,1.48083,1.19393,0.52933,0.57834,0.53413,0.32928,1.72738,1.43355,1.20522,0.00137241,0.00137241,0.00137241
8,690.827,1.77907,1.4387,1.18722,0.55887,0.61767,0.54525,0.31836,1.75134,1.41623,1.22184,0.00136298,0.00136298,0.00136298
9,775.092,1.7796,1.38068,1.1766,0.53933,0.66708,0.62208,0.36273,1.73223,1.29992,1.21067,0.00135355,0.00135355,0.00135355
10,859.451,1.74965,1.39479,1.18888,0.60897,0.65409,0.6358,0.37318,1.74534,1.35556,1.243,0.00134412,0.00134412,0.00134412
11,944.096,1.77099,1.31831,1.18911,0.54267,0.68764,0.66214,0.41577,1.68936,1.32099,1.20128,0.00133469,0.00133469,0.00133469
12,1027.82,1.7314,1.32626,1.18043,0.60161,0.68101,0.68496,0.4289,1.732,1.31744,1.24304,0.00132525,0.00132525,0.00132525
13,1111.47,1.71974,1.26481,1.17642,0.57033,0.69416,0.68099,0.42663,1.69286,1.20953,1.17068,0.00131582,0.00131582,0.00131582
14,1195.31,1.72769,1.2736,1.16097,0.70132,0.68571,0.69671,0.43806,1.69021,1.20272,1.21947,0.00130639,0.00130639,0.00130639
15,1279.4,1.74075,1.23335,1.18356,0.60314,0.72877,0.69327,0.43425,1.69911,1.25218,1.19332,0.00129696,0.00129696,0.00129696
16,1364.5,1.69386,1.22905,1.17641,0.70715,0.65267,0.722,0.45063,1.68481,1.14803,1.18526,0.00128753,0.00128753,0.00128753
17,1449.4,1.69373,1.2109,1.16111,0.6369,0.68637,0.72831,0.45838,1.70394,1.20252,1.20007,0.0012781,0.0012781,0.0012781
18,1533.97,1.69101,1.19356,1.14419,0.6816,0.73814,0.72216,0.44474,1.67326,1.14491,1.18294,0.00126867,0.00126867,0.00126867
19,1617.76,1.66212,1.27193,1.13952,0.62351,0.72874,0.7102,0.43632,1.69015,1.21854,1.20236,0.00125923,0.00125923,0.00125923
20,1702.1,1.69097,1.1478,1.14844,0.69409,0.67636,0.71103,0.43789,1.72698,1.13821,1.20706,0.0012498,0.0012498,0.0012498
21,1784.8,1.6785,1.15596,1.16092,0.67742,0.71499,0.71298,0.44451,1.67627,1.1278,1.20666,0.00124037,0.00124037,0.00124037
22,1864.61,1.66838,1.09952,1.13796,0.68669,0.69217,0.73431,0.44121,1.69457,1.15278,1.21074,0.00123094,0.00123094,0.00123094
23,1945.03,1.66151,1.0749,1.13268,0.67229,0.65147,0.7246,0.43593,1.71301,1.21542,1.21305,0.00122151,0.00122151,0.00122151
24,2024.76,1.63172,1.1026,1.13994,0.71545,0.6747,0.72375,0.4441,1.69324,1.18541,1.21006,0.00121208,0.00121208,0.00121208
25,2104.32,1.64655,1.09272,1.12817,0.73545,0.69826,0.73514,0.45326,1.67523,1.09282,1.20463,0.00120265,0.00120265,0.00120265
26,2187.56,1.6512,1.08322,1.13978,0.7128,0.69278,0.73152,0.43848,1.75236,1.08743,1.22278,0.00119322,0.00119322,0.00119322
